instances,average_latency_ms,median_latency_ms,stddev_latency_ms,min_latency_ms,max_latency_ms,num_transactions
1,1827.511,1824.250,878.139,274.800,3612.700,486
2,1085.401,1077.000,445.244,261.000,2211.100,639
3,891.912,906.700,309.339,259.200,1684.100,702
4,702.513,699.312,239.925,212.250,1459.750,586
5,641.472,636.000,197.951,247.556,1517.444,638
6,581.309,582.350,163.990,234.300,1221.600,680
7,545.235,546.050,141.424,229.500,964.200,600
8,507.796,516.000,133.314,218.300,902.300,624
9,494.243,481.857,121.232,234.714,1138.143,629
10,472.120,464.100,125.451,221.200,1585.200,580
11,465.911,465.333,124.612,218.833,1143.500,609
20,410.930,402.889,87.225,202.000,1133.000,695
30,394.045,385.500,104.122,211.900,1759.400,662
40,391.650,372.111,153.445,224.222,2369.111,670
49,370.438,361.688,91.946,198.250,1074.625,692
50,357.957,350.400,73.372,200.300,598.800,684
60,360.774,348.500,93.725,226.286,1456.286,612
