=== PER-INSTANCE SUMMARY STATISTICS ===
instances,avg_ms,median_ms,stddev_ms,min_ms,max_ms,unique_txs
1,1827.511,1824.250,878.139,274.800,3612.700,486
2,1085.401,1077.000,445.244,261.000,2211.100,639
3,891.912,906.700,309.339,259.200,1684.100,702
4,702.513,699.312,239.925,212.250,1459.750,586
5,641.472,636.000,197.951,247.556,1517.444,638
6,581.309,582.350,163.990,234.300,1221.600,680
7,545.235,546.050,141.424,229.500,964.200,600
8,507.796,516.000,133.314,218.300,902.300,624
9,494.243,481.857,121.232,234.714,1138.143,629
10,472.120,464.100,125.451,221.200,1585.200,580
11,465.911,465.333,124.612,218.833,1143.500,609
20,410.930,402.889,87.225,202.000,1133.000,695
30,394.045,385.500,104.122,211.900,1759.400,662
40,391.650,372.111,153.445,224.222,2369.111,670
49,370.438,361.688,91.946,198.250,1074.625,692
50,357.957,350.400,73.372,200.300,598.800,684
60,360.774,348.500,93.725,226.286,1456.286,612

=== KOLMOGOROV-SMIRNOV TESTS (Non-Significant Comparisons) ===
instance_1,instance_2,ks_statistic,p_value,n1,n2
10,11,0.0338920573,4.7359531784e-02,2900,3652

=== GROUP SUMMARY STATISTICS ===
instances,n,mean_ms,median_ms,std_ms,min_ms,max_ms
1,4860,1827.51,1822.00,878.58,203.00,4037.00
2,6378,1085.04,1084.00,449.74,221.00,2719.00
3,7005,891.53,904.00,312.35,223.00,2031.00
4,4682,702.37,703.50,241.80,167.00,1723.00
5,5736,640.95,632.00,213.89,202.00,3397.00
6,6800,581.31,582.00,167.79,191.00,2200.00
7,6000,545.23,545.00,148.57,195.00,1946.00
8,6237,507.70,512.00,146.67,178.00,2125.00
9,4403,494.24,485.00,155.73,200.00,3687.00
10,2900,472.12,463.00,133.18,185.00,1611.00
11,3652,465.54,458.00,136.41,191.00,1850.00
20,6251,410.84,404.00,99.06,152.00,1940.00
30,6617,394.05,385.00,113.59,166.00,2049.00
40,6030,391.65,371.00,157.45,183.00,2410.00
49,5532,370.43,360.00,107.51,147.00,1844.00
50,6838,357.94,348.00,84.60,169.00,1554.00
60,4284,360.77,350.00,98.61,177.00,1486.00
